,best_epoch,best_test_loss,datasetname,model,n_normflows,percent,test_error_rate,test_measures
0,371.0,9.07039851768,boston,mixture,1,0.25,7.83272457123,best_val_loss
1,326.0,3977.90720352,boston,mixture,2,0.25,7.29037714005,best_val_loss
2,360.0,296.463343826,boston,mixture,3,0.25,7.88134241104,best_val_loss
3,210.0,201.808191636,boston,mixture,4,0.25,55.9091796875,best_val_loss
4,131.0,1113.29758349,boston,mixture,8,0.25,107.557167053,best_val_loss
5,119.0,927.082892923,boston,mixture,20,0.25,148.187637329,best_val_loss
6,554.0,3.26118349562,boston,mixture,1,0.5,11.9419546127,best_val_loss
7,255.0,9.9556796504,boston,mixture,2,0.5,14.1348266602,best_val_loss
8,214.0,3217.12430363,boston,mixture,3,0.5,14.3514509201,best_val_loss
9,708.0,4.27249354942,boston,mixture,4,0.5,7.8942065239,best_val_loss
10,233.0,495.035953896,boston,mixture,8,0.5,10.2722606659,best_val_loss
11,12.0,467.841538373,boston,mixture,20,0.5,156.19720459,best_val_loss
12,317.0,2.66356449501,boston,mixture,1,1.0,5.25440883636,best_val_loss
13,359.0,1.98132698209,boston,mixture,2,1.0,5.6435713768,best_val_loss
14,156.0,27.3184314803,boston,mixture,3,1.0,8.77149486542,best_val_loss
15,154.0,125.563548967,boston,mixture,4,1.0,11.2282152176,best_val_loss
16,167.0,16.1710483327,boston,mixture,8,1.0,16.4445762634,best_val_loss
17,122.0,247.887800628,boston,mixture,20,1.0,134.386184692,best_val_loss
18,304.0,12.4023401597,boston,baseline,1,0.25,9.68968200684,best_val_loss
19,337.0,9.93974124684,boston,baseline,2,0.25,10.77455616,best_val_loss
20,312.0,4.05985035616,boston,baseline,3,0.25,7.59688186646,best_val_loss
21,507.0,2.94370494169,boston,baseline,4,0.25,11.6961755753,best_val_loss
22,350.0,33.330895667,boston,baseline,8,0.25,7.94199132919,best_val_loss
23,665.0,2.38246065028,boston,baseline,20,0.25,7.13748216629,best_val_loss
24,462.0,3.09844776228,boston,baseline,1,0.5,6.80375480652,best_val_loss
25,375.0,3.34849219229,boston,baseline,2,0.5,6.90466737747,best_val_loss
26,829.0,3.24410950904,boston,baseline,3,0.5,7.86482715607,best_val_loss
27,339.0,2.99213125191,boston,baseline,4,0.5,12.2920284271,best_val_loss
28,420.0,20.256920908,boston,baseline,8,0.5,7.91799926758,best_val_loss
29,455.0,2.74785883286,boston,baseline,20,0.5,4.3215970993,best_val_loss
30,168.0,3.17563763787,boston,baseline,1,1.0,10.4104061127,best_val_loss
31,337.0,3.52150337369,boston,baseline,2,1.0,3.80888676643,best_val_loss
32,274.0,6.23915444168,boston,baseline,3,1.0,7.66198968887,best_val_loss
33,500.0,2.65911461325,boston,baseline,4,1.0,12.1762552261,best_val_loss
34,754.0,2.63965920841,boston,baseline,8,1.0,9.51027965546,best_val_loss
35,228.0,3.50146820966,boston,baseline,20,1.0,7.29279279709,best_val_loss
36,315.0,8.3451645795,boston,planarflowdet,1,0.25,15.0125350952,best_val_loss
37,360.0,6.84870521695,boston,planarflowdet,2,0.25,33.1362838745,best_val_loss
38,758.0,42.6099679984,boston,planarflowdet,3,0.25,123.577964783,best_val_loss
39,85.0,6975.66837086,boston,planarflowdet,4,0.25,861.595275879,best_val_loss
40,176.0,25482.4340533,boston,planarflowdet,8,0.25,1561.38000488,best_val_loss
41,975.0,83953.3085938,boston,planarflowdet,20,0.25,3859.98339844,best_val_loss
42,549.0,5.50234267291,boston,planarflowdet,1,0.5,20.1661529541,best_val_loss
43,608.0,4.0214472752,boston,planarflowdet,2,0.5,29.551612854,best_val_loss
44,1151.0,114.515849095,boston,planarflowdet,3,0.5,38.8910255432,best_val_loss
45,472.0,8.35274610332,boston,planarflowdet,4,0.5,61.5611724854,best_val_loss
46,708.0,16.0593127082,boston,planarflowdet,8,0.5,112.662635803,best_val_loss
47,755.0,49.008368997,boston,planarflowdet,20,0.5,62.8533210754,best_val_loss
48,450.0,2.10434633143,boston,planarflowdet,1,1.0,3.98876667023,best_val_loss
49,731.0,3.32480456782,boston,planarflowdet,2,1.0,37.3707618713,best_val_loss
50,293.0,6.41870925006,boston,planarflowdet,3,1.0,33.6698265076,best_val_loss
51,422.0,24.8199229521,boston,planarflowdet,4,1.0,12.5454063416,best_val_loss
52,592.0,5.88857104732,boston,planarflowdet,8,1.0,69.1343307495,best_val_loss
53,474.0,14.8608027439,boston,planarflowdet,20,1.0,725.891235352,best_val_loss
54,293.0,4.43237394445,boston,baselinedetplus,1,0.25,37.6168556213,best_val_loss
55,96.0,7.17219094669,boston,baselinedetplus,2,0.25,35.8426437378,best_val_loss
56,65.0,4.34996122472,boston,baselinedetplus,3,0.25,58.6982154846,best_val_loss
57,59.0,7.21135277842,boston,baselinedetplus,4,0.25,63.2104187012,best_val_loss
