,batch_size,best_epoch,best_test_loss,datasetname,minus_log_s1,model,n_normflows,opt_decay,opt_identifier,opt_momentum,opt_offset,opt_step_rate,percent,test_error_rate,test_measures
0,10.0,371.0,9.07039851768,boston,6.0,mixture,1,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.25,7.83272457123,best_val_loss
1,10.0,326.0,3977.90720352,boston,6.0,mixture,2,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.25,7.29037714005,best_val_loss
2,10.0,360.0,296.463343826,boston,5.0,mixture,3,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.25,7.88134241104,best_val_loss
3,10.0,210.0,201.808191636,boston,1.0,mixture,4,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.25,55.9091796875,best_val_loss
4,100.0,131.0,1113.29758349,boston,2.0,mixture,8,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.25,107.557167053,best_val_loss
5,100.0,119.0,927.082892923,boston,2.0,mixture,20,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.25,148.187637329,best_val_loss
6,100.0,554.0,3.26118349562,boston,1.0,mixture,1,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.5,11.9419546127,best_val_loss
7,10.0,255.0,9.9556796504,boston,5.0,mixture,2,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.5,14.1348266602,best_val_loss
8,10.0,214.0,3217.12430363,boston,6.0,mixture,3,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.5,14.3514509201,best_val_loss
9,10.0,708.0,4.27249354942,boston,1.0,mixture,4,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.5,7.8942065239,best_val_loss
10,10.0,233.0,495.035953896,boston,5.0,mixture,8,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.5,10.2722606659,best_val_loss
11,100.0,12.0,467.841538373,boston,1.0,mixture,20,0.809016152962,adam,4.61471782475e-05,0.000384870525734,0.01,0.5,156.19720459,best_val_loss
12,10.0,317.0,2.66356449501,boston,2.0,mixture,1,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,1.0,5.25440883636,best_val_loss
13,100.0,359.0,1.98132698209,boston,2.0,mixture,2,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,1.0,5.6435713768,best_val_loss
14,10.0,156.0,27.3184314803,boston,4.0,mixture,3,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,1.0,8.77149486542,best_val_loss
15,10.0,154.0,125.563548967,boston,5.0,mixture,4,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,1.0,11.2282152176,best_val_loss
