,best_epoch_mean,best_epoch_std,best_test_loss_mean,best_test_loss_std,datasetname,model,n_normflows,percent,test_error_rate_mean,test_error_rate_std,test_measures
0,69.6,112.304229662,361.209632898,209.45125492,boston,mixture,1,0.25,inf,,best_val_loss
1,65.6,95.0759696243,726.285842297,1129.03357329,boston,mixture,2,0.25,inf,,best_val_loss
2,71.8,104.719434681,181.426480035,56.7307506826,boston,mixture,3,0.25,inf,,best_val_loss
3,65.1,84.6752029817,23.5284679438,59.4315813304,boston,mixture,4,0.25,inf,,best_val_loss
4,63.8,65.9163105764,125.021153815,330.216898096,boston,mixture,8,0.25,inf,,best_val_loss
5,45.1,40.9840212766,208.03020952,321.875582045,boston,mixture,20,0.25,inf,,best_val_loss
6,97.0,180.590697435,2.86086670371,0.242564548083,boston,mixture,1,0.5,inf,,best_val_loss
7,46.6,78.9204662936,65.086194294,39.0339770375,boston,mixture,2,0.5,inf,,best_val_loss
8,61.8,67.7330052485,640.80126802,877.979522171,boston,mixture,3,0.5,inf,,best_val_loss
9,116.5,204.263677633,6.73951694763,8.52271200116,boston,mixture,4,0.5,inf,,best_val_loss
10,56.3,77.3886942647,356.865803126,121.350684174,boston,mixture,8,0.5,inf,,best_val_loss
11,78.8,106.415976244,78.7079929564,140.506888578,boston,mixture,20,0.5,55.1156900406,51.1207412165,best_val_loss
12,79.3,114.422943503,4.02904551138,1.00901961649,boston,mixture,1,1.0,inf,,best_val_loss
13,88.0,140.773577066,2.90600000269,0.368154321952,boston,mixture,2,1.0,inf,,best_val_loss
14,39.9,59.6027683921,31.7985264597,13.3926317616,boston,mixture,3,1.0,inf,,best_val_loss
15,39.4,54.1575479504,112.638883055,23.4096321248,boston,mixture,4,1.0,inf,,best_val_loss
16,56.3,54.7339930939,14.0872048222,4.95115676233,boston,mixture,8,1.0,inf,,best_val_loss
17,63.2,58.3091759503,107.27194254,150.690175405,boston,mixture,20,1.0,77.0717580795,50.5195888322,best_val_loss
18,42.1,93.1659272481,360.175051376,177.545496591,boston,baseline,1,0.25,inf,,best_val_loss
19,49.3,105.440077769,324.280535771,136.823977042,boston,baseline,2,0.25,10.1365582943,1.94146464328,best_val_loss
20,45.9,97.7777582071,68.0970017153,28.2668270166,boston,baseline,3,0.25,9.47201123238,1.11201205503,best_val_loss
21,88.8,149.193029328,4.29804918875,0.676505154004,boston,baseline,4,0.25,inf,,best_val_loss
22,60.9,103.881133995,2345.94898254,1212.60778258,boston,baseline,8,0.25,inf,,best_val_loss
23,104.8,195.908039651,3.16784100252,0.420784358459,boston,baseline,20,0.25,5.13247182369,1.46086370844,best_val_loss
24,88.6,142.909201943,3.36222067814,0.188475740685,boston,baseline,1,0.5,4.99714436531,1.4384112364,best_val_loss
25,91.7,112.008080066,3.3873150171,0.238283852511,boston,baseline,2,0.5,inf,,best_val_loss
26,145.0,276.48869778,5.48828476301,1.94156195874,boston,baseline,3,0.5,inf,,best_val_loss
27,63.7,109.957309898,4.27315599778,0.60745273545,boston,baseline,4,0.5,inf,,best_val_loss
28,91.7,136.102938984,7.2439072129,4.34535990029,boston,baseline,8,0.5,inf,,best_val_loss
29,82.1,140.915187258,3.08374023438,0.215132644164,boston,baseline,20,0.5,inf,,best_val_loss
30,50.3,54.4959631532,4.11029803457,0.632031920885,boston,baseline,1,1.0,inf,,best_val_loss
31,90.1,127.656139688,3.39460349862,0.324497498735,boston,baseline,2,1.0,5.01710968018,1.18385079487,best_val_loss
32,76.7,91.7736890399,6.13008976855,0.21248010255,boston,baseline,3,1.0,9.89039587975,1.18967606381,best_val_loss
33,114.0,195.524423027,3.18624651042,0.441784980698,boston,baseline,4,1.0,inf,,best_val_loss
34,170.0,267.724858764,3.13168062198,0.20379278818,boston,baseline,8,1.0,9.12280464172,1.31491898715,best_val_loss
35,85.6,72.5785092159,3.5101548064,0.165260663008,boston,baseline,20,1.0,9.51132254601,1.05398508452,best_val_loss
36,42.9,96.1721893273,350.361876474,167.701423028,boston,planarflowdet,1,0.25,inf,,best_val_loss
37,59.1,107.38105047,308.627191354,180.929402842,boston,planarflowdet,2,0.25,inf,,best_val_loss
38,125.7,227.830660799,9.85939855139,10.9197483529,boston,planarflowdet,3,0.25,inf,,best_val_loss
39,72.1,100.392679016,713.203210307,2087.80668738,boston,planarflowdet,4,0.25,95.5070127487,255.407690087,best_val_loss
40,92.8,98.7165639597,2778.88369955,7581.27410829,boston,planarflowdet,8,0.25,inf,,best_val_loss
41,256.7,313.54459013,9009.27663428,25000.5426518,boston,planarflowdet,20,0.25,599.135923386,1115.15955381,best_val_loss
42,105.7,183.084160975,3.9154352425,0.707122060494,boston,planarflowdet,1,0.5,7.16455080509,4.60014817051,best_val_loss
43,116.2,186.278179076,3.64581089394,0.364636163468,boston,planarflowdet,2,0.5,inf,,best_val_loss
44,207.2,382.249342707,46497.5533847,139440.7224,boston,planarflowdet,3,0.5,334.747776699,976.199248211,best_val_loss
45,103.5,149.636392632,5.98067825916,1.84441622311,boston,planarflowdet,4,0.5,inf,,best_val_loss
46,133.3,204.307146228,665.378086693,1972.4037566,boston,planarflowdet,8,0.5,107.907814789,194.655632951,best_val_loss
47,126.4,243.179851139,202.000504597,117.831665222,boston,planarflowdet,20,0.5,inf,,best_val_loss
48,90.9,155.877163177,2.68702807582,0.486547709607,boston,planarflowdet,1,1.0,4.16799015999,0.957609593705,best_val_loss
49,164.9,276.36622442,53.7213548,143.666691706,boston,planarflowdet,2,1.0,25.8384271622,6.45047646633,best_val_loss
50,82.2,111.929263376,6.27250136332,1.3467150722,boston,planarflowdet,3,1.0,19.4214869499,7.36803894195,best_val_loss
51,99.2,149.495685556,39.1645280975,15.7206888001,boston,planarflowdet,4,1.0,9.98847346306,3.31165579633,best_val_loss
52,163.6,214.806517592,4.66117601582,1.05288084234,boston,planarflowdet,8,1.0,inf,,best_val_loss
53,110.3,140.120697971,1177.65280104,3474.04884416,boston,planarflowdet,20,1.0,316.063683128,400.980671279,best_val_loss
54,67.9,125.907466022,0.248523857313,1.4024737072,boston,baselinedetplus,1,0.25,inf,,best_val_loss
55,42.5,74.9242951251,0.996430126826,2.23460088871,boston,baselinedetplus,2,0.25,inf,,best_val_loss
56,36.4,35.8530333445,2.70734594009,0.581556860495,boston,baselinedetplus,3,0.25,inf,,best_val_loss
57,41.5,64.1798254906,1.19556869362,2.22525517266,boston,baselinedetplus,4,0.25,inf,,best_val_loss
58,42.1,53.6608796052,3.63244666305,2.10717566683,boston,baselinedetplus,8,0.25,inf,,best_val_loss
59,78.4,113.66547409,3.1952138064,7.56621248837,boston,baselinedetplus,20,0.25,inf,,best_val_loss
60,53.6,90.9914281677,0.216669022803,0.849665601953,boston,baselinedetplus,1,0.5,inf,,best_val_loss
61,53.5,86.4259798903,1.29478935167,0.915220394766,boston,baselinedetplus,2,0.5,inf,,best_val_loss
62,56.5,77.6945944066,0.662158555143,1.13811380255,boston,baselinedetplus,3,0.5,inf,,best_val_loss
63,32.2,67.3628977999,0.770063975746,1.34900782644,boston,baselinedetplus,4,0.5,inf,,best_val_loss
64,43.4,81.8281125286,1.380437117,2.0048200015,boston,baselinedetplus,8,0.5,inf,,best_val_loss
65,39.7,59.0221144996,1.94592526754,2.12104097218,boston,baselinedetplus,20,0.5,inf,,best_val_loss
66,42.9,55.4228292313,0.315542931183,0.803886106407,boston,baselinedetplus,1,1.0,inf,,best_val_loss
67,65.3,108.338405009,2.73300519457,1.32838908536,boston,baselinedetplus,2,1.0,inf,,best_val_loss
68,52.9,68.509050497,0.682568852107,1.01604730905,boston,baselinedetplus,3,1.0,inf,,best_val_loss
69,67.9,97.1961418987,0.897769508642,1.16351984818,boston,baselinedetplus,4,1.0,inf,,best_val_loss
70,43.1,70.1319470712,1.08760883574,1.47382333182,boston,baselinedetplus,8,1.0,inf,,best_val_loss
71,50.5,74.6568817993,1.65465646071,2.15384689436,boston,baselinedetplus,20,1.0,inf,,best_val_loss
72,219.7,442.202905915,3.50251863766,0.308248299616,boston,baselineplus,1,0.25,5.46489653587,2.87007339218,best_val_loss
73,137.7,270.698005164,6.33663348528,0.366384572271,boston,baselineplus,2,0.25,inf,,best_val_loss
74,40.2,86.68540823,472.328381113,163.866556222,boston,baselineplus,3,0.25,inf,,best_val_loss
75,245.0,514.802292147,34.5102011039,4.55763882991,boston,baselineplus,4,0.25,9.44944219589,0.894752070765,best_val_loss
76,358.2,702.688522747,47.585830868,57.8121774254,boston,baselineplus,8,0.25,inf,,best_val_loss
77,220.9,477.90740735,759.832718758,406.660434808,boston,baselineplus,20,0.25,inf,,best_val_loss
78,112.5,195.679968316,4.90322922351,0.569310049686,boston,baselineplus,1,0.5,inf,,best_val_loss
79,205.1,364.138833414,8.86227242464,1.20842416112,boston,baselineplus,2,0.5,inf,,best_val_loss
80,141.7,268.92454332,34.3545713936,16.346244187,boston,baselineplus,3,0.5,inf,,best_val_loss
81,90.5,165.313792528,10.9822167789,2.03085762561,boston,baselineplus,4,0.5,inf,,best_val_loss
82,91.9,145.918778778,90.7257493661,2.50218901036,boston,baselineplus,8,0.5,inf,,best_val_loss
83,139.6,204.368882171,34.181215179,1.02232382022,boston,baselineplus,20,0.5,19.5744337082,6.81947242455,best_val_loss
84,342.1,641.874045277,9.32340426227,13.2609491295,boston,baselineplus,1,1.0,7.22287502289,3.13387987121,best_val_loss
85,79.5,116.65183239,6.33539854062,0.35111583595,boston,baselineplus,2,1.0,inf,,best_val_loss
86,438.4,839.549069441,6.90242574854,1.9384968004,boston,baselineplus,3,1.0,inf,,best_val_loss
87,293.5,558.357815384,15.5380741543,5.98681609773,boston,baselineplus,4,1.0,inf,,best_val_loss
88,408.9,795.112124169,26.5792282104,11.9875159813,boston,baselineplus,8,1.0,inf,,best_val_loss
89,72.5,121.199216169,79.271987925,0.818878655659,boston,baselineplus,20,1.0,inf,,best_val_loss
90,113.7,218.681983712,162.267499198,438.212414052,boston,planarflow,1,0.25,inf,,best_val_loss
91,113.4,188.647395953,306.841827024,558.915933019,boston,planarflow,2,0.25,inf,,best_val_loss
92,82.4,145.833603809,428.211760268,1158.35218462,boston,planarflow,3,0.25,inf,,best_val_loss
93,78.0,118.132975921,122.800308786,340.375541488,boston,planarflow,4,0.25,38.0688120842,63.8026443909,best_val_loss
94,89.4,122.957878967,1989.92650424,5932.33065842,boston,planarflow,8,0.25,inf,,best_val_loss
95,0.0,0.0,,,boston,planarflow,20,0.25,inf,,best_val_loss
