,datasetname,model,n_normflows,test_measures,value0,value1,value2
0,boston,mixture,1,best_val_loss,2.80881032114,3.01743622103,3.21666119617
1,boston,mixture,2,best_val_loss,2.95028468146,3.0127778537,3.05070854961
2,boston,mixture,3,best_val_loss,2.52456703739,3.31015721197,3.9729466922
3,boston,mixture,4,best_val_loss,2.81193749801,5.3262853498,5.40540887998
4,boston,mixture,8,best_val_loss,3.70348861252,3.86175147347,3.98702333976
5,boston,mixture,20,best_val_loss,13.2096894582,13.481947885,81.5118217745
6,boston,baseline,1,best_val_loss,2.88349478348,3.21821733558,3.34393868654
7,boston,baseline,2,best_val_loss,2.46865428427,2.50463264576,2.64401117961
8,boston,baseline,3,best_val_loss,2.55110583098,2.67841449406,2.70994424129
9,boston,baseline,4,best_val_loss,2.15373335023,2.20152614428,2.23085110429
10,boston,baseline,8,best_val_loss,2.04644040647,2.46542629297,2.52827243529
11,boston,baseline,20,best_val_loss,2.73650724992,2.88148686506,2.88900231624
12,boston,planarflowdet,1,best_val_loss,1.75703227347,2.04943374966,2.3608295883
13,boston,planarflowdet,2,best_val_loss,1.7171917791,1.83208523626,2.07842602937
14,boston,planarflowdet,3,best_val_loss,1.78732847131,1.94205789981,2.41720929353
15,boston,planarflowdet,4,best_val_loss,2.45663341232,4.00220982095,5.07865660294
16,boston,planarflowdet,8,best_val_loss,2.01687711909,2.22342958312,2.84460059456
17,boston,planarflowdet,20,best_val_loss,4.87053293422,4.88079634957,7.1137111498
18,boston,baselinedetplus,1,best_val_loss,0.387252185656,0.389304617177,0.478907875393
19,boston,baselinedetplus,2,best_val_loss,0.124417346457,0.130551203437,0.145056195881
20,boston,baselinedetplus,3,best_val_loss,-0.0146718893362,0.104689100514,0.171069134837
21,boston,baselinedetplus,4,best_val_loss,0.723251923271,1.12153716709,1.14000486291
22,boston,baselinedetplus,8,best_val_loss,1.27398366513,1.32957027269,1.34509675399
23,boston,baselinedetplus,20,best_val_loss,1.8257948834,1.9056192481,1.98765530794
24,boston,radialflowdet,1,best_val_loss,0.717193893764,0.749585483385,0.756528514364
25,boston,radialflowdet,2,best_val_loss,0.137378087078,0.391946675121,0.504680183659
26,boston,radialflowdet,3,best_val_loss,0.618636846542,1.14638077003,1.20394341842
27,boston,radialflowdet,4,best_val_loss,0.960597577302,1.58820273911,1.85341804615
28,boston,radialflowdet,8,best_val_loss,0.331343021946,0.47526904811,0.544744074129
29,boston,radialflowdet,20,best_val_loss,1838398.28261,inf,54518.1603261
30,boston,baselineplus,1,best_val_loss,4.30212948011,4.31039536518,4.34904300856
31,boston,baselineplus,2,best_val_loss,2.85017758245,3.13033982982,3.95043681601
32,boston,baselineplus,3,best_val_loss,3.62941985199,3.68107510995,3.7541725988
33,boston,baselineplus,4,best_val_loss,7.31295582868,7.39162312383,7.58663000577
34,boston,baselineplus,8,best_val_loss,6.47574642016,8.08473099418,9.15202337072
35,boston,baselineplus,20,best_val_loss,9.89580335202,10.0130693353,12.3792147927
36,boston,planarflow,1,best_val_loss,3.30189449476,3.36980468087,3.73565128161
37,boston,planarflow,2,best_val_loss,3.4164392499,3.51887056102,4.1457229559
38,boston,planarflow,3,best_val_loss,3.23273691924,3.88398051055,4.15044905621
39,boston,planarflow,4,best_val_loss,3.5676608984,5.31764063213,5.42726139815
40,boston,planarflow,8,best_val_loss,3.71554045746,4.04623026088,4.33190481214
41,boston,planarflow,20,best_val_loss,,inf,
42,boston,baselinedet,1,best_val_loss,0.229186306829,0.294559333635,0.357576536096
43,boston,baselinedet,2,best_val_loss,-0.0404030706571,0.0779933618463,0.132682022841
44,boston,baselinedet,3,best_val_loss,-0.0539722390797,0.0936058293218,0.171622131182
45,boston,baselinedet,4,best_val_loss,0.473935832148,0.563194606615,0.596368582352
46,boston,baselinedet,8,best_val_loss,0.0962514255358,0.127387430357,0.315522525621
47,boston,baselinedet,20,best_val_loss,0.0397225514702,0.162061255911,0.486018222311
48,boston,radialflow,1,best_val_loss,3.03664126447,3.44739255225,3.46699955592
49,boston,radialflow,2,best_val_loss,2.44144573716,2.66099584249,2.78918178886
50,boston,radialflow,3,best_val_loss,2.67231862425,2.72639025926,2.79367989725
51,boston,radialflow,4,best_val_loss,2.19121358567,2.20769745592,3.54882764588
52,boston,radialflow,8,best_val_loss,2.59352086823,2.69743230146,2.72208416823
53,boston,radialflow,20,best_val_loss,inf,inf,inf
54,boston,mixture,1,val_error_rate,3.46148943901,3.76636147499,3.92900705338
55,boston,mixture,2,val_error_rate,5.98698282242,6.5083565712,7.84196710587
56,boston,mixture,3,val_error_rate,3.96676874161,4.09358596802,4.21987485886
57,boston,mixture,4,val_error_rate,3.55724716187,3.9627392292,4.00172758102
58,boston,mixture,8,val_error_rate,10.6575737,10.6893606186,10.8883686066
59,boston,mixture,20,val_error_rate,6.63343477249,6.98979568481,7.55773067474
60,boston,baseline,1,val_error_rate,3.80630636215,3.99187922478,4.13792085648
61,boston,baseline,2,val_error_rate,3.72944402695,4.16575336456,4.47003221512
62,boston,baseline,3,val_error_rate,3.86010551453,3.90209937096,3.98460578918
63,boston,baseline,4,val_error_rate,3.38699650764,3.77331995964,3.87236070633
64,boston,baseline,8,val_error_rate,5.03146076202,5.37677812576,5.87046766281
65,boston,baseline,20,val_error_rate,3.45300173759,3.5469481945,3.76011919975
66,boston,planarflowdet,1,val_error_rate,2.77737951279,3.22915410995,3.54208087921
67,boston,planarflowdet,2,val_error_rate,3.74021840096,4.6126499176,4.87940883636
68,boston,planarflowdet,3,val_error_rate,4.34683561325,4.61394071579,4.6841583252
69,boston,planarflowdet,4,val_error_rate,3.54168748856,5.10251092911,6.21167707443
70,boston,planarflowdet,8,val_error_rate,15.6657342911,19.2055492401,30.2748622894
71,boston,planarflowdet,20,val_error_rate,14.0154266357,14.3496322632,34.3084449768
72,boston,baselinedetplus,1,val_error_rate,3.04002332687,3.45184636116,3.90599536896
73,boston,baselinedetplus,2,val_error_rate,2.53250575066,2.5851957798,2.67211914062
74,boston,baselinedetplus,3,val_error_rate,2.44667291641,2.56551408768,2.87285590172
75,boston,baselinedetplus,4,val_error_rate,4.79372262955,6.55800247192,6.86426115036
76,boston,baselinedetplus,8,val_error_rate,7.74885129929,7.91623353958,8.25266933441
77,boston,baselinedetplus,20,val_error_rate,11.8536586761,12.6624660492,15.1626682281
78,boston,radialflowdet,1,val_error_rate,2.5492503643,2.55572390556,2.71331620216
79,boston,radialflowdet,2,val_error_rate,2.13955211639,2.25950288773,2.45857906342
80,boston,radialflowdet,3,val_error_rate,2.43299388885,2.49962925911,2.58746051788
81,boston,radialflowdet,4,val_error_rate,2.41144275665,2.61484336853,2.69310665131
82,boston,radialflowdet,8,val_error_rate,2.26179718971,2.26647639275,2.32053852081
83,boston,radialflowdet,20,val_error_rate,inf,inf,inf
