,datasetname,model,n_normflows,test_measures,value0,value1
0,boston,mixture,1,best_val_loss,2.80881032114,3.21666119617
1,boston,mixture,2,best_val_loss,3.17537962872,3.29336810734
2,boston,mixture,3,best_val_loss,3.31015721197,4.47998343758
3,boston,mixture,4,best_val_loss,5.3262853498,5.40540887998
4,boston,mixture,8,best_val_loss,3.98702333976,3.98841841325
5,boston,mixture,20,best_val_loss,13.2096894582,13.481947885
6,boston,baseline,1,best_val_loss,2.88349478348,3.21821733558
7,boston,baseline,2,best_val_loss,2.46865428427,2.72705763112
8,boston,baseline,3,best_val_loss,2.67841449406,2.74961586828
9,boston,baseline,4,best_val_loss,4.11846745118,4.21223083164
10,boston,baseline,8,best_val_loss,2.04644040647,2.46542629297
11,boston,baseline,20,best_val_loss,2.73650724992,2.88148686506
12,boston,planarflowdet,1,best_val_loss,2.53429684017,2.59849227408
13,boston,planarflowdet,2,best_val_loss,2.46048360631,2.56206349912
14,boston,planarflowdet,3,best_val_loss,2.41720929353,2.52735550093
15,boston,planarflowdet,4,best_val_loss,2.45663341232,4.00220982095
16,boston,planarflowdet,8,best_val_loss,3.08639587181,3.27262123771
17,boston,planarflowdet,20,best_val_loss,4.87053293422,4.88079634957
18,boston,baselinedetplus,1,best_val_loss,0.387252185656,0.389304617177
19,boston,baselinedetplus,2,best_val_loss,0.242945443029,0.275597510131
20,boston,baselinedetplus,3,best_val_loss,0.283417370008,0.298256189927
21,boston,baselinedetplus,4,best_val_loss,0.723251923271,1.12153716709
22,boston,baselinedetplus,8,best_val_loss,1.32957027269,1.35601358828
23,boston,baselinedetplus,20,best_val_loss,1.8257948834,1.9056192481
24,boston,radialflowdet,1,best_val_loss,0.717193893764,0.749585483385
25,boston,radialflowdet,2,best_val_loss,0.504680183659,1.53180629896
26,boston,radialflowdet,3,best_val_loss,1.2922506747,1.59123997896
27,boston,radialflowdet,4,best_val_loss,2.7310888705,3.19126707989
28,boston,radialflowdet,8,best_val_loss,0.609189271927,0.772225656371
29,boston,radialflowdet,20,best_val_loss,1838398.28261,inf
30,boston,baselineplus,1,best_val_loss,4.30212948011,4.31039536518
31,boston,baselineplus,2,best_val_loss,2.85017758245,3.13033982982
32,boston,baselineplus,3,best_val_loss,3.7541725988,3.85422635286
33,boston,baselineplus,4,best_val_loss,15.3364575013,15.470676588
34,boston,baselineplus,8,best_val_loss,6.47574642016,8.08473099418
35,boston,baselineplus,20,best_val_loss,9.89580335202,10.0130693353
36,boston,planarflow,1,best_val_loss,3.30189449476,3.36980468087
37,boston,planarflow,2,best_val_loss,4.445921193,5.03822674959
38,boston,planarflow,3,best_val_loss,3.88398051055,4.15044905621
39,boston,planarflow,4,best_val_loss,5.31764063213,5.42726139815
40,boston,planarflow,8,best_val_loss,3.71554045746,4.04623026088
41,boston,planarflow,20,best_val_loss,,inf
42,boston,baselinedet,1,best_val_loss,0.229186306829,0.294559333635
43,boston,baselinedet,2,best_val_loss,0.304691169573,0.309716245402
44,boston,baselinedet,3,best_val_loss,0.281362160392,0.315014922101
