"datasetname","modelname","batch_size","n_normflows","minus_log_s","opt_identifier","opt_momentum","opt_offset","opt_decay","opt_step_rate"
"kin8nm","mixture",100,2,5,"rmsprop",0.00572619189748114,2.8415854354155986e-05,0.9467670599078688,0.001
"winered","baseline",100,2,4,"rmsprop",0.9709749942687481,1.4746962991970304e-05,0.9489552507648678,0.0001
"concrete","baseline",1,3,4,"adam",0.0025189968182259847,0.0006777556239873291,0.8073647960535589,0.0001
"energy","mixture",10,2,4,"adam",0.003299382534301114,0.00033191459417029586,0.9880436498467586,0.001
"concrete","radialflow",1,20,4,"adam",0.8592381097662359,0.0004683574383198892,0.9813441346537463,0.0001
"concrete","mixture",100,2,2,"adam",0.9150409539597691,0.000417904230941881,0.8733335896409573,0.01
"winered","radialflow",100,8,1,"adadelta",0.9404885482355091,5e-05,0.8904997330086936,0.1
"powerplant","baseline",100,1,1,"adam",0.0018480682710029317,0.000753448449040843,0.7868328181455347,0.01
"energy","baseline",100,4,4,"adadelta",0.9761878102190022,1e-08,0.9540570283885572,0.1
"energy","mixture",100,1,1,"rmsprop",0.006643468816832593,1.053494754699284e-05,0.9048824973941036,0.01
"energy","radialflow",1,20,2,"adam",0.009520306237840257,0.00028060366819316826,0.9771567567773104,0.0001
"energy","baseline",100,8,2,"adadelta",0.9965095952392068,5e-05,0.9347244148309023,0.001
"boston","baseline",10,4,3,"adam",0.8680628014262137,0.00013342121063975065,0.9631178668240837,0.001
"boston","mixture",10,3,2,"adam",0.006217705224848178,0.00013368556071840875,0.8010629598192969,0.001
"winered","mixture",10,2,2,"adam",0.800321862511731,0.00024911309557497835,0.8207024073230098,0.01
"kin8nm","mixture",10,2,1,"adam",0.8655573248191609,0.0004524578473623809,0.9695974017196086,0.01
"kin8nm","baseline",100,2,5,"rmsprop",0.00572619189748114,2.8415854354155986e-05,0.9467670599078688,0.001
"concrete","radialflow",1,20,3,"adam",0.8143807642185888,0.00045727835411834075,0.8551344676828511,0.001
"winered","mixture",100,8,1,"adadelta",0.9404885482355091,5e-05,0.8904997330086936,0.1
"boston","radialflow",1,20,3,"adam",0.007135820024732294,0.0007310817856497204,0.8925774839235782,0.001
