minus_log_s,batch_size,n_normflows,opt_identifier,opt_momentum,opt_offset,opt_decay,opt_step_rate
1,100,8,rmsprop,0.9111357882282669,3.307896644699759e-05,0.9835545818910154,0.001
1,1,4,adam,0.002276920828659428,0.00016459919899450447,0.9376341331182867,0.001
3,1,20,adam,0.007135820024732294,0.0007310817856497204,0.8925774839235782,0.001
7,100,4,adam,0.0013381267689319153,0.0009882440818709335,0.8703139561938535,0.01
6,100,20,rmsprop,0.004279299399694701,1.9632335250383767e-05,0.9067310168268607,0.001
6,100,1,adam,0.004353947365429286,0.000578317936631541,0.9539261947531844,0.01
1,10,8,adam,0.0009897871809519975,0.0001800669705982037,0.9571221856995811,0.001
2,10,4,rmsprop,0.9734474435093218,2.8161814003278157e-05,0.9129096857648933,0.0001
2,10,4,rmsprop,0.9734474435093218,2.8161814003278157e-05,0.9129096857648933,0.0001
3,10,4,adam,0.8680628014262137,0.00013342121063975065,0.9631178668240837,0.001
2,10,4,rmsprop,0.9734474435093218,2.8161814003278157e-05,0.9129096857648933,0.0001
2,10,3,adam,0.006217705224848178,0.00013368556071840875,0.8010629598192969,0.001
6,100,20,adadelta,0.9692692808028014,1e-08,0.9225639064565548,0.1
2,10,3,adam,0.006217705224848178,0.00013368556071840875,0.8010629598192969,0.001
2,10,3,adam,0.006217705224848178,0.00013368556071840875,0.8010629598192969,0.001
2,100,8,rmsprop,0.006625593846684921,1.581493137203194e-05,0.9535358301241471,0.01
1,100,8,rmsprop,0.9111357882282669,3.307896644699759e-05,0.9835545818910154,0.001
3,10,4,adam,0.8680628014262137,0.00013342121063975065,0.9631178668240837,0.001
1,100,8,rmsprop,0.9111357882282669,3.307896644699759e-05,0.9835545818910154,0.001
2,10,8,adam,9.46773299684367e-05,0.00032210169420433376,0.8436502422827987,0.01
3,10,4,adam,0.8680628014262137,0.00013342121063975065,0.9631178668240837,0.001
6,100,1,adam,0.004353947365429286,0.000578317936631541,0.9539261947531844,0.01
1,1,4,adam,0.002276920828659428,0.00016459919899450447,0.9376341331182867,0.001
