minus_log_s,batch_size,n_normflows,opt_identifier,opt_momentum,opt_offset,opt_decay,opt_step_rate
7,100,2,adam,0.8424992340725268,0.000895657606694477,0.9672732409305222,0.01
6,100,3,adam,0.8331812989202648,0.0003107465818437513,0.9028031704568209,0.01
7,100,8,adam,0.8364140179731206,0.00016812893711244258,0.8909897560205903,0.01
6,100,3,adam,0.8331812989202648,0.0003107465818437513,0.9028031704568209,0.01
4,1,3,adam,0.0025189968182259847,0.0006777556239873291,0.8073647960535589,0.0001
3,1,20,adam,0.8143807642185888,0.00045727835411834075,0.8551344676828511,0.001
2,100,2,rmsprop,0.007679497437524747,2.3264877022506887e-05,0.883359400527604,0.01
2,100,2,adam,0.9150409539597691,0.000417904230941881,0.8733335896409573,0.01
5,100,3,adam,0.0025980168995333518,0.0005696827467787709,0.8638131522267684,0.01
5,100,3,adam,0.0025980168995333518,0.0005696827467787709,0.8638131522267684,0.01
7,100,2,adam,0.8424992340725268,0.000895657606694477,0.9672732409305222,0.01
5,1,4,adam,0.804862451295937,0.0006180865753615711,0.9450746706008176,0.0001
2,1,8,adam,0.001619340127615676,0.000245545726856333,0.7986128566392938,0.001
7,100,8,adam,0.8364140179731206,0.00016812893711244258,0.8909897560205903,0.01
2,100,2,adam,0.9150409539597691,0.000417904230941881,0.8733335896409573,0.01
2,100,2,rmsprop,0.007679497437524747,2.3264877022506887e-05,0.883359400527604,0.01
5,100,3,adam,0.0025980168995333518,0.0005696827467787709,0.8638131522267684,0.01
7,100,2,adam,0.8424992340725268,0.000895657606694477,0.9672732409305222,0.01
4,10,20,adam,0.8118402397504858,0.0008707278248052969,0.8224657945632474,0.001
3,1,20,adam,0.8143807642185888,0.00045727835411834075,0.8551344676828511,0.001
2,100,2,rmsprop,0.007679497437524747,2.3264877022506887e-05,0.883359400527604,0.01
6,100,3,adam,0.8331812989202648,0.0003107465818437513,0.9028031704568209,0.01
2,100,2,adam,0.9150409539597691,0.000417904230941881,0.8733335896409573,0.01
6,100,1,adadelta,0.9812799759318527,1e-08,0.8904829656855371,0.1
1,10,2,adam,0.8908060454501374,0.00033854443716180803,0.9745420203910834,0.001
6,100,1,adadelta,0.9812799759318527,1e-08,0.8904829656855371,0.1
1,10,2,adam,0.007648587958596123,0.00031200898421027086,0.9341251430780092,0.1
4,100,8,adam,0.9017513923409434,0.00013103918253541433,0.9362295365454624,0.001
6,100,1,adadelta,0.9812799759318527,1e-08,0.8904829656855371,0.1
4,1,20,adam,0.8592381097662359,0.0004683574383198892,0.9813441346537463,0.0001
1,10,2,adam,0.8908060454501374,0.00033854443716180803,0.9745420203910834,0.001
2,100,4,adam,0.0003539993369520389,0.0001993978064476119,0.9770939491335362,0.1
1,10,2,adam,0.8908060454501374,0.00033854443716180803,0.9745420203910834,0.001
7,100,8,adam,0.8364140179731206,0.00016812893711244258,0.8909897560205903,0.01
