minus_log_s,batch_size,n_normflows,opt_identifier,opt_momentum,opt_offset,opt_decay,opt_step_rate
6,100,8,adam,4.6147178247536445e-05,0.00038487052573374185,0.8090161529624685,0.01
1,10,3,rmsprop,0.004972466908206907,2.811015656542281e-05,0.918582946021817,0.01
4,10,2,adam,0.003299382534301114,0.00033191459417029586,0.9880436498467586,0.001
1,10,3,rmsprop,0.004972466908206907,2.811015656542281e-05,0.918582946021817,0.01
2,100,8,adadelta,0.9965095952392068,5e-05,0.9347244148309023,0.001
3,100,4,rmsprop,0.0040930990224954215,1.0720560977570458e-05,0.8296118935129767,0.01
2,1,1,adam,0.8302671546444164,0.00026678688069079745,0.9136939585976824,0.001
4,10,2,adam,0.003299382534301114,0.00033191459417029586,0.9880436498467586,0.001
3,100,4,rmsprop,0.0040930990224954215,1.0720560977570458e-05,0.8296118935129767,0.01
7,100,2,adam,0.006174293671650477,0.00020186081637572082,0.9216635160737028,0.01
3,10,2,adam,0.9238333653743134,0.00010534229151711208,0.8589417398755472,0.01
1,100,1,rmsprop,0.006643468816832593,1.053494754699284e-05,0.9048824973941036,0.01
2,1,20,adam,0.009520306237840257,0.00028060366819316826,0.9771567567773104,0.0001
7,100,2,adam,0.006174293671650477,0.00020186081637572082,0.9216635160737028,0.01
1,100,1,rmsprop,0.006643468816832593,1.053494754699284e-05,0.9048824973941036,0.01
2,1,20,adam,0.009520306237840257,0.00028060366819316826,0.9771567567773104,0.0001
2,1,20,adam,0.009520306237840257,0.00028060366819316826,0.9771567567773104,0.0001
5,100,8,adam,0.0005241721080334649,0.00020203219252256605,0.9548721810755377,0.01
2,1,1,adam,0.8302671546444164,0.00026678688069079745,0.9136939585976824,0.001
7,100,3,adadelta,0.9695144895547694,1e-08,0.8793201823049316,0.1
2,100,8,adadelta,0.9965095952392068,5e-05,0.9347244148309023,0.001
1,100,1,rmsprop,0.006643468816832593,1.053494754699284e-05,0.9048824973941036,0.01
1,10,3,rmsprop,0.004972466908206907,2.811015656542281e-05,0.918582946021817,0.01
7,100,2,adam,0.006174293671650477,0.00020186081637572082,0.9216635160737028,0.01
1,100,3,rmsprop,0.9554807238723323,1.0179119970931488e-05,0.9573182307586535,0.0001
4,100,4,adadelta,0.9761878102190022,1e-08,0.9540570283885572,0.1
2,1,1,adam,0.8302671546444164,0.00026678688069079745,0.9136939585976824,0.001
7,100,3,adadelta,0.9695144895547694,1e-08,0.8793201823049316,0.1
4,100,4,adadelta,0.9761878102190022,1e-08,0.9540570283885572,0.1
3,10,2,adam,0.9238333653743134,0.00010534229151711208,0.8589417398755472,0.01
4,10,2,adam,0.003299382534301114,0.00033191459417029586,0.9880436498467586,0.001
3,10,2,adam,0.9238333653743134,0.00010534229151711208,0.8589417398755472,0.01
7,100,3,adadelta,0.9695144895547694,1e-08,0.8793201823049316,0.1
5,100,8,adam,0.0005241721080334649,0.00020203219252256605,0.9548721810755377,0.01
