minus_log_s,batch_size,n_normflows,opt_identifier,opt_momentum,opt_offset,opt_decay,opt_step_rate
1,10,3,adam,0.8931579530824088,0.00019712865850591188,0.9724260993981437,0.1
1,10,8,rmsprop,0.00211166146663024,3.342522002107818e-05,0.9589873412863745,0.0001
5,100,2,rmsprop,0.00572619189748114,2.8415854354155986e-05,0.9467670599078688,0.001
1,10,2,adam,0.8655573248191609,0.0004524578473623809,0.9695974017196086,0.01
1,10,3,adam,0.8931579530824088,0.00019712865850591188,0.9724260993981437,0.1
1,10,8,rmsprop,0.00211166146663024,3.342522002107818e-05,0.9589873412863745,0.0001
3,100,20,adam,0.004105884927601107,0.00043540929852162646,0.8177217231266194,0.01
1,10,3,adam,0.8931579530824088,0.00019712865850591188,0.9724260993981437,0.1
2,100,8,adam,0.8006556056069294,0.00010845533586612857,0.8038899375340872,0.1
5,100,2,rmsprop,0.00572619189748114,2.8415854354155986e-05,0.9467670599078688,0.001
